Parti_id,Date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Participant 1,6/17/2019,1,1,-1,-1,1,-1,-1,-1,-1,2
Participant 2,6/17/2019,0,0,0,0,0,0,0,0,0,4
Participant 3,6/17/2019,0,0,0,0,0,0,0,0,0,0
Participant 4,6/17/2019,1,-1,-1,1,1,1,-1,1,1,5
Participant 5,6/17/2019,1,1,1,1,1,1,-1,1,1,5
Participant 6,6/17/2019,0,0,0,0,0,0,0,0,0,0
Participant 7,6/17/2019,0,0,0,0,0,0,0,0,0,0
Participant 8,6/17/2019,1,1,-1,-1,1,-1,-1,-1,1,2
Participant 9,6/17/2019,0,1,0,0,1,0,1,0,0,5
Participant 10,6/17/2019,0,0,0,0,0,0,0,0,0,0
Participant 11,6/17/2019,1,-1,1,1,1,-1,1,1,1,3
Participant 12,6/17/2019,1,1,-1,-1,1,-1,1,-1,1,4
Participant 13,6/17/2019,1,1,-1,1,1,-1,1,1,1,4
Participant 14,6/17/2019,-1,1,-1,1,1,1,1,-1,1,4
Participant 15,6/17/2019,0,0,0,0,0,0,0,0,0,0
Participant 16,6/17/2019,0,0,0,0,0,0,0,0,0,0
Participant 1,6/18/2019,1,-1,-1,1,1,-1,-1,-1,1,3
Participant 2,6/18/2019,-1,1,-1,1,1,-1,1,1,1,4
Participant 3,6/18/2019,0,0,0,0,0,0,0,0,0,0
Participant 4,6/18/2019,1,1,1,1,1,1,1,1,1,5
Participant 5,6/18/2019,1,1,1,1,1,1,-1,1,1,5
Participant 6,6/18/2019,0,0,0,0,0,0,0,0,0,0
Participant 7,6/18/2019,0,0,0,0,0,0,0,0,0,0
Participant 8,6/18/2019,-1,-1,-1,1,1,-1,1,-1,1,3
Participant 9,6/18/2019,1,1,-1,1,-1,1,-1,-1,1,4
Participant 10,6/18/2019,0,0,0,0,0,0,0,0,0,0
Participant 11,6/18/2019,1,-1,-1,1,1,1,1,1,1,5
Participant 12,6/18/2019,-1,1,-1,1,-1,-1,-1,-1,1,4
Participant 13,6/18/2019,-1,1,1,1,1,-1,1,-1,1,4
Participant 14,6/18/2019,-1,1,1,1,1,1,1,1,1,3
Participant 15,6/18/2019,0,0,0,0,0,0,0,0,0,0
Participant 16,6/18/2019,0,0,0,0,0,0,0,0,0,0
Participant 1,6/19/2019,1,-1,-1,1,-1,-1,-1,-1,1,3
Participant 2,6/19/2019,-1,-1,-1,1,-1,-1,-1,-1,-1,1
Participant 3,6/19/2019,0,0,0,0,0,0,0,0,0,0
Participant 4,6/19/2019,1,1,1,1,1,1,1,0,1,4
Participant 5,6/19/2019,1,1,1,1,-1,1,-1,-1,1,5
Participant 6,6/19/2019,0,0,0,0,0,0,0,0,0,0
Participant 7,6/19/2019,0,0,0,0,0,0,0,0,0,0
Participant 8,6/19/2019,1,-1,-1,-1,-1,-1,-1,-1,1,0
Participant 9,6/19/2019,-1,1,1,1,1,-1,1,-1,1,4
Participant 10,6/19/2019,-1,1,-1,1,0,-1,-1,-1,1,4
Participant 11,6/19/2019,1,1,1,1,1,1,1,1,1,5
Participant 12,6/19/2019,1,-1,1,1,1,-1,-1,-1,1,4
